tipo,cant_threads,input_dim,hidden_neurons,output_dim,epochs,dataset_elements,total_mult_en_ciclos,nops_stalls,ciclos_simulados,context_switches,tiempo_ejecucion_s
normal,0,3,30,1,500,500,66012000,1200200,75613600,0,0.263044
fgmt,3,3,30,1,500,500,66012000,400100,205224400,66012000,277.813084
cgmt,3,3,30,1,500,500,66012000,400100,67812100,200100,31.931159
normal,0,3,30,1,500,500,66012000,400100,69212800,0,0.242683
fgmt,3,3,30,1,500,500,66012000,1800400,206425200,66012000,277.932719
cgmt,3,3,30,1,500,500,66012000,1800400,73213200,1200300,38.494401
normal,0,3,30,1,500,500,66012000,1800400,79415200,0,0.238361
fgmt,3,3,30,1,500,500,66012000,1400300,206625200,66012000,277.425404
cgmt,3,3,30,1,500,500,66012000,1400300,70012300,1200300,37.533599
normal,0,3,30,1,500,500,66012000,1400300,77214400,0,0.259179
fgmt,3,3,30,1,500,500,66012000,600100,204824400,66012000,279.405397
cgmt,3,3,30,1,500,500,66012000,600100,69412100,200100,31.961203
normal,0,3,30,1,500,500,66012000,600100,70812800,0,0.271779
fgmt,3,3,30,1,500,500,66012000,1600400,207625600,66012000,280.910597
cgmt,3,3,30,1,500,500,66012000,1600400,73013800,1000200,36.982075
normal,0,3,30,1,500,500,66012000,1600400,78815200,0,0.251089
fgmt,3,3,30,1,500,500,66012000,1000200,205624800,66012000,278.955276
cgmt,3,3,30,1,500,500,66012000,1000200,72013600,400000,32.392724
normal,0,3,30,1,500,500,66012000,1000200,74013600,0,0.272046
fgmt,3,3,30,1,500,500,66012000,1000000,204224000,66012000,282.768496
cgmt,3,3,30,1,500,500,66012000,1000000,69012000,1000000,37.258597
normal,0,3,30,1,500,500,66012000,1000000,74012000,0,0.237919
